Dis_trict,jan_lowest_PM2.5,jan_highest_PM2.5,jan_average_PM2.5,jan_day_exceeding_month,feb_lowest_PM2.5,feb_highest_PM2.5,feb_average_PM2.5,feb_day_exceeding_month,mar_lowest_PM2.5,mar_highest_PM2.5,mar_average_PM2.5,mar_day_exceeding_month,apr_lowest_PM2.5,apr_highest_PM2.5,apr_average_PM2.5,apr_day_exceeding_month,may_lowest_PM2.5,may_highest_PM2.5,may_average_PM2.5,may_day_exceeding_month,jun_lowest_PM2.5,jun_highest_PM2.5,jun_average_PM2.5,jun_day_exceeding_month,jul_lowest_PM2.5,jul_highest_PM2.5,jul_average_PM2.5,jul_day_exceeding_month,aug_lowest_PM2.5,aug_highest_PM2.5,aug_average_PM2.5,aug_day_exceeding_month,sep_lowest_PM2.5,sep_highest_PM2.5,sep_average_PM2.5,sep_day_exceeding_month,oct_lowest_PM2.5,oct_highest_PM2.5,oct_average_PM2.5,oct_day_exceeding_month,nov_lowest_PM2.5,nov_highest_PM2.5,nov_average_PM2.5,nov_day_exceeding_month,dec_lowest_PM2.5,dec_highest_PM2.5,dec_average_PM2.5,dec_day_exceeding_month,ปี
สวนสันติภาพ เขตราชเทวี,15.0,72.0,39.0,7.0,21.0,54.0,37.0,1.0,9.0,44.0,22.0,0.0,5.0,32.0,17.0,0.0,4.0,22.0,11.0,0.0,5.0,18.0,9.0,0.0,3.0,18.0,7.0,0.0,3.0,12.0,7.0,0.0,5.0,30.0,10.0,0.0,6.0,28.0,14.0,0.0,11.0,26.0,19.0,0.0,13.0,57.0,29.0,2.0,2564
สวนลุมพินี เขตปทุมวัน,20.0,88.0,49.0,11.0,17.0,48.0,33.0,0.0,6.0,38.0,19.0,0.0,6.0,23.0,14.0,0.0,5.0,20.0,10.0,0.0,4.0,17.0,8.0,0.0,4.0,17.0,7.0,0.0,4.0,13.0,7.0,0.0,4.0,28.0,8.0,0.0,4.0,24.0,11.0,0.0,7.0,21.0,15.0,0.0,10.0,52.0,25.0,1.0,2564
อุทยานเบญจสิริ เขตคลองเตย,20.0,79.0,44.0,8.0,22.0,57.0,39.0,4.0,9.0,44.0,23.0,0.0,6.0,29.0,17.0,0.0,4.0,24.0,12.0,0.0,5.0,19.0,10.0,0.0,4.0,16.0,8.0,0.0,4.0,15.0,8.0,0.0,5.0,30.0,10.0,0.0,5.0,27.0,14.0,0.0,12.0,27.0,20.0,0.0,13.0,59.0,31.0,3.0,2564
สวนเบญจกิติ เขตคลองเตย,19.0,104.0,47.0,9.0,20.0,53.0,37.0,3.0,10.0,39.0,22.0,0.0,6.0,27.0,16.0,0.0,4.0,23.0,11.0,0.0,4.0,19.0,9.0,0.0,4.0,16.0,8.0,0.0,4.0,14.0,7.0,0.0,5.0,30.0,10.0,0.0,5.0,29.0,14.0,0.0,11.0,25.0,19.0,0.0,13.0,57.0,29.0,3.0,2564
สวนสาธารณะเฉลิมพระเกียรติ 6 รอบพระชนมพรรษา เขตบางคอแหลม,15.0,94.0,38.0,7.0,18.0,57.0,37.0,2.0,6.0,43.0,19.0,0.0,4.0,27.0,15.0,0.0,3.0,21.0,10.0,0.0,4.0,17.0,8.0,0.0,3.0,12.0,7.0,0.0,4.0,16.0,8.0,0.0,6.0,35.0,11.0,0.0,4.0,33.0,14.0,0.0,12.0,26.0,19.0,0.0,11.0,54.0,28.0,2.0,2564
สวนรมณีย์ทุ่งสีกัน เขตดอนเมือง,19.0,77.0,41.0,7.0,24.0,61.0,38.0,2.0,8.0,39.0,23.0,0.0,6.0,30.0,17.0,0.0,3.0,23.0,10.0,0.0,4.0,16.0,8.0,0.0,3.0,13.0,6.0,0.0,5.0,15.0,8.0,0.0,5.0,21.0,11.0,0.0,6.0,27.0,15.0,0.0,11.0,32.0,20.0,0.0,15.0,63.0,33.0,3.0,2564
สวนกีฬารามอินทรา เขตบางเขน,15.0,72.0,39.0,7.0,25.0,60.0,41.0,7.0,10.0,52.0,25.0,1.0,6.0,31.0,19.0,0.0,6.0,26.0,12.0,0.0,6.0,17.0,9.0,0.0,4.0,14.0,8.0,0.0,5.0,16.0,8.0,0.0,5.0,20.0,11.0,0.0,5.0,27.0,14.0,0.0,10.0,29.0,18.0,0.0,12.0,56.0,29.0,1.0,2564
สวนวชิรเบญจทัศ เขตจตุจักร,14.0,72.0,37.0,7.0,21.0,57.0,38.0,2.0,9.0,43.0,23.0,0.0,5.0,29.0,17.0,0.0,3.0,23.0,11.0,0.0,5.0,19.0,8.0,0.0,3.0,15.0,7.0,0.0,4.0,14.0,7.0,0.0,4.0,24.0,9.0,0.0,5.0,28.0,12.0,0.0,10.0,25.0,18.0,0.0,13.0,58.0,30.0,3.0,2564
สวนจตุจักร เขตจตุจักร,14.0,70.0,37.0,7.0,23.0,54.0,38.0,2.0,10.0,44.0,24.0,0.0,6.0,29.0,17.0,0.0,5.0,23.0,12.0,0.0,6.0,19.0,9.0,0.0,4.0,18.0,8.0,0.0,5.0,15.0,9.0,0.0,6.0,27.0,11.0,0.0,5.0,28.0,14.0,0.0,11.0,31.0,19.0,0.0,13.0,57.0,30.0,2.0,2564
สวนสมเด็จพระนางเจ้าสิริกิติ์ฯ เขตจตุจักร,13.0,69.0,35.0,7.0,20.0,52.0,36.0,1.0,10.0,43.0,23.0,0.0,5.0,30.0,17.0,0.0,4.0,23.0,11.0,0.0,5.0,18.0,9.0,0.0,4.0,15.0,7.0,0.0,4.0,15.0,8.0,0.0,5.0,26.0,10.0,0.0,6.0,28.0,14.0,0.0,11.0,26.0,18.0,0.0,12.0,57.0,29.0,2.0,2564
สวนหลวง ร.9 เขตประเวศ,17.0,78.0,37.0,7.0,22.0,56.0,37.0,3.0,10.0,38.0,21.0,0.0,6.0,31.0,18.0,0.0,5.0,29.0,12.0,0.0,6.0,19.0,11.0,0.0,5.0,31.0,10.0,0.0,5.0,14.0,9.0,0.0,6.0,27.0,11.0,0.0,6.0,28.0,14.0,0.0,11.0,27.0,18.0,0.0,11.0,67.0,30.0,3.0,2564
สวนเสรีไทย เขตบึงกุ่ม,15.0,77.0,39.0,7.0,27.0,55.0,41.0,7.0,10.0,41.0,24.0,0.0,7.0,31.0,19.0,0.0,6.0,28.0,13.0,0.0,6.0,19.0,10.0,0.0,5.0,16.0,9.0,0.0,6.0,18.0,10.0,0.0,7.0,27.0,12.0,0.0,11.0,35.0,21.0,0.0,15.0,33.0,24.0,0.0,18.0,65.0,35.0,3.0,2564
สวนหนองจอก เขตหนองจอก,16.0,85.0,39.0,6.0,20.0,67.0,42.0,7.0,13.0,43.0,26.0,0.0,7.0,36.0,20.0,0.0,6.0,27.0,14.0,0.0,6.0,22.0,11.0,0.0,5.0,16.0,9.0,0.0,5.0,23.0,9.0,0.0,5.0,20.0,10.0,0.0,5.0,27.0,13.0,0.0,11.0,29.0,18.0,0.0,13.0,58.0,30.0,2.0,2564
สวน 60 พรรษา สมเด็จพระนางเจ้าฯ พระบรมราชินีนาถ เขตลาดกระบัง,18.0,78.0,40.0,7.0,26.0,65.0,41.0,8.0,10.0,42.0,24.0,0.0,5.0,32.0,20.0,0.0,6.0,31.0,14.0,0.0,7.0,20.0,11.0,0.0,5.0,18.0,10.0,0.0,6.0,19.0,10.0,0.0,7.0,24.0,11.0,0.0,7.0,29.0,14.0,0.0,11.0,30.0,18.0,0.0,16.0,61.0,30.0,1.0,2564
สวนพระนคร เขตลาดกระบัง,15.0,94.0,38.0,6.0,21.0,74.0,39.0,3.0,7.0,35.0,20.0,0.0,6.0,27.0,15.0,0.0,5.0,29.0,11.0,0.0,4.0,17.0,8.0,0.0,3.0,13.0,7.0,0.0,4.0,15.0,7.0,0.0,5.0,24.0,11.0,0.0,5.0,24.0,12.0,0.0,11.0,27.0,17.0,0.0,11.0,55.0,27.0,1.0,2564
สวนหลวงพระราม 8 เขตบางพลัด,19.0,81.0,39.0,7.0,20.0,62.0,37.0,3.0,7.0,47.0,22.0,0.0,6.0,31.0,18.0,0.0,5.0,23.0,11.0,0.0,5.0,19.0,9.0,0.0,3.0,19.0,8.0,0.0,5.0,18.0,10.0,0.0,8.0,33.0,13.0,0.0,8.0,32.0,17.0,0.0,13.0,28.0,21.0,0.0,16.0,61.0,33.0,3.0,2564
สวนทวีวนารมย์ เขตทวีวัฒนา,20.0,100.0,48.0,12.0,29.0,83.0,51.0,11.0,11.0,63.0,26.0,1.0,9.0,31.0,21.0,0.0,7.0,28.0,15.0,0.0,10.0,24.0,15.0,0.0,7.0,23.0,12.0,0.0,7.0,18.0,12.0,0.0,8.0,37.0,13.0,0.0,6.0,37.0,18.0,0.0,14.0,53.0,30.0,1.0,15.0,95.0,42.0,5.0,2564
สวนเฉลิมพระเกียรติ 80 พรรษาพระบาทสมเด็จพระเจ้าอยู่หัว เขตบางกอกน้อย,14.0,76.0,35.0,7.0,18.0,58.0,35.0,2.0,6.0,43.0,20.0,0.0,4.0,26.0,15.0,0.0,3.0,20.0,10.0,0.0,5.0,19.0,9.0,0.0,4.0,16.0,7.0,0.0,4.0,12.0,7.0,0.0,4.0,27.0,8.0,0.0,5.0,26.0,12.0,0.0,9.0,25.0,18.0,0.0,11.0,66.0,29.0,2.0,2564
สวนบางแคภิรมย์ เขตบางแค,17.0,95.0,43.0,9.0,19.0,69.0,41.0,6.0,8.0,52.0,21.0,1.0,7.0,29.0,17.0,0.0,4.0,24.0,12.0,0.0,8.0,21.0,11.0,0.0,5.0,16.0,10.0,0.0,5.0,18.0,10.0,0.0,5.0,38.0,12.0,0.0,7.0,28.0,16.0,0.0,12.0,40.0,24.0,0.0,16.0,67.0,35.0,4.0,2564
สวนธนบุรีรมย์ เขตทุ่งครุ,15.0,101.0,43.0,10.0,19.0,63.0,40.0,4.0,8.0,50.0,22.0,0.0,6.0,32.0,18.0,0.0,5.0,26.0,12.0,0.0,6.0,23.0,12.0,0.0,6.0,18.0,10.0,0.0,5.0,18.0,10.0,0.0,6.0,43.0,14.0,0.0,5.0,36.0,17.0,0.0,13.0,33.0,23.0,0.0,15.0,73.0,35.0,5.0,2564
อุทยานเบญจสิริ เขตคลองเตย,13.0,41.0,26.0,0.0,7.0,56.0,28.0,3.0,9.0,54.0,19.0,1.0,6.0,58.0,27.0,2.0,6.0,26.0,13.0,0.0,5.0,20.0,11.0,0.0,4.0,16.0,10.0,0.0,5.0,21.0,11.0,0.0,8.0,26.0,13.0,0.0,7.0,39.0,21.0,0.0,11.0,36.0,22.0,0.0,9.0,43.0,25.0,0.0,2565
สวนเบญจกิติ เขตคลองเตย,13.0,39.0,25.0,0.0,8.0,50.0,26.0,0.0,9.0,52.0,19.0,1.0,6.0,59.0,25.0,2.0,4.0,25.0,13.0,0.0,5.0,20.0,10.0,0.0,7.0,14.0,10.0,0.0,5.0,18.0,10.0,0.0,7.0,23.0,12.0,0.0,6.0,37.0,20.0,0.0,11.0,33.0,21.0,0.0,10.0,42.0,24.0,0.0,2565
สวนสาธารณะเฉลิมพระเกียรติ 6 รอบพระชนมพรรษา เขตบางคอแหลม,9.0,40.0,22.0,0.0,7.0,48.0,24.0,0.0,8.0,46.0,16.0,0.0,7.0,61.0,24.0,1.0,4.0,21.0,12.0,0.0,5.0,18.0,10.0,0.0,4.0,13.0,8.0,0.0,4.0,15.0,10.0,0.0,7.0,27.0,12.0,0.0,7.0,39.0,22.0,0.0,9.0,35.0,22.0,0.0,9.0,44.0,25.0,0.0,2565
สวนรมณีย์ทุ่งสีกัน เขตดอนเมือง,13.0,50.0,28.0,0.0,7.0,52.0,29.0,2.0,11.0,45.0,22.0,0.0,9.0,70.0,28.0,3.0,5.0,27.0,14.0,0.0,6.0,20.0,11.0,0.0,7.0,20.0,10.0,0.0,6.0,25.0,11.0,0.0,7.0,28.0,12.0,0.0,9.0,42.0,22.0,0.0,13.0,40.0,25.0,0.0,13.0,47.0,27.0,0.0,2565
สวนกีฬารามอินทรา เขตบางเขน,13.0,47.0,26.0,0.0,8.0,53.0,27.0,1.0,12.0,43.0,21.0,0.0,7.0,64.0,27.0,2.0,6.0,26.0,13.0,0.0,6.0,21.0,10.0,0.0,7.0,13.0,9.0,0.0,5.0,24.0,10.0,0.0,5.0,26.0,12.0,0.0,6.0,40.0,20.0,0.0,10.0,37.0,22.0,0.0,11.0,38.0,25.0,0.0,2565
สวนวชิรเบญจทัศ เขตจตุจักร,10.0,44.0,25.0,0.0,8.0,48.0,27.0,0.0,9.0,49.0,20.0,0.0,8.0,68.0,27.0,2.0,4.0,29.0,14.0,0.0,5.0,24.0,12.0,0.0,6.0,15.0,9.0,0.0,5.0,19.0,10.0,0.0,6.0,23.0,11.0,0.0,7.0,37.0,19.0,0.0,10.0,34.0,21.0,0.0,9.0,43.0,24.0,0.0,2565
สวนจตุจักร เขตจตุจักร,10.0,42.0,24.0,0.0,9.0,49.0,27.0,0.0,11.0,48.0,20.0,0.0,8.0,68.0,26.0,2.0,6.0,24.0,13.0,0.0,6.0,21.0,11.0,0.0,7.0,16.0,10.0,0.0,6.0,21.0,11.0,0.0,6.0,25.0,12.0,0.0,7.0,38.0,20.0,0.0,12.0,44.0,22.0,0.0,10.0,40.0,24.0,0.0,2565
สวนสมเด็จพระนางเจ้าสิริกิติ์ฯ เขตจตุจักร,10.0,41.0,24.0,0.0,6.0,48.0,27.0,0.0,9.0,49.0,19.0,0.0,8.0,70.0,26.0,2.0,5.0,24.0,13.0,0.0,6.0,22.0,10.0,0.0,6.0,15.0,9.0,0.0,6.0,22.0,10.0,0.0,7.0,23.0,11.0,0.0,7.0,38.0,19.0,0.0,10.0,38.0,21.0,0.0,10.0,42.0,24.0,0.0,2565
สวนหลวง ร.9 เขตประเวศ,13.0,39.0,26.0,0.0,7.0,52.0,29.0,2.0,10.0,58.0,18.0,1.0,5.0,62.0,25.0,2.0,5.0,25.0,13.0,0.0,6.0,17.0,11.0,0.0,5.0,13.0,9.0,0.0,5.0,16.0,10.0,0.0,7.0,22.0,12.0,0.0,6.0,38.0,19.0,0.0,9.0,32.0,20.0,0.0,9.0,42.0,24.0,0.0,2565
สวนเสรีไทย เขตบึงกุ่ม,19.0,50.0,34.0,0.0,8.0,53.0,27.0,1.0,17.0,59.0,26.0,1.0,12.0,75.0,32.0,3.0,10.0,31.0,19.0,0.0,11.0,28.0,17.0,0.0,12.0,19.0,15.0,0.0,10.0,25.0,15.0,0.0,12.0,34.0,17.0,0.0,11.0,44.0,25.0,0.0,10.0,39.0,22.0,0.0,15.0,44.0,29.0,0.0,2565
สวนหนองจอก เขตหนองจอก,16.0,49.0,30.0,0.0,8.0,48.0,27.0,0.0,12.0,54.0,25.0,1.0,7.0,71.0,28.0,2.0,6.0,27.0,13.0,0.0,6.0,19.0,12.0,0.0,6.0,14.0,10.0,0.0,6.0,24.0,11.0,0.0,8.0,30.0,13.0,0.0,6.0,38.0,20.0,0.0,15.0,38.0,25.0,0.0,10.0,42.0,25.0,0.0,2565
สวน 60 พรรษา สมเด็จพระนางเจ้าฯ พระบรมราชินีนาถ เขตลาดกระบัง,14.0,42.0,28.0,0.0,9.0,49.0,27.0,0.0,10.0,59.0,21.0,1.0,7.0,72.0,28.0,2.0,6.0,25.0,13.0,0.0,7.0,19.0,12.0,0.0,7.0,14.0,11.0,0.0,6.0,23.0,12.0,0.0,8.0,30.0,13.0,0.0,7.0,38.0,19.0,0.0,8.0,32.0,20.0,0.0,16.0,44.0,31.0,0.0,2565
สวนพระนคร เขตลาดกระบัง,11.0,41.0,24.0,0.0,6.0,48.0,27.0,0.0,8.0,47.0,17.0,0.0,6.0,60.0,25.0,2.0,4.0,23.0,11.0,0.0,4.0,16.0,10.0,0.0,5.0,12.0,8.0,0.0,4.0,15.0,9.0,0.0,6.0,24.0,11.0,0.0,6.0,38.0,18.0,0.0,9.0,42.0,24.0,0.0,9.0,41.0,24.0,0.0,2565
สวนหลวงพระราม 8 เขตบางพลัด,13.0,44.0,25.0,0.0,8.0,52.0,27.0,1.0,9.0,45.0,19.0,0.0,9.0,80.0,28.0,3.0,6.0,24.0,15.0,0.0,8.0,22.0,12.0,0.0,8.0,20.0,11.0,0.0,7.0,21.0,12.0,0.0,8.0,25.0,14.0,0.0,9.0,41.0,23.0,0.0,11.0,39.0,24.0,0.0,11.0,44.0,28.0,0.0,2565
สวนทวีวนารมย์ เขตทวีวัฒนา,12.0,79.0,31.0,2.0,6.0,64.0,27.0,3.0,6.0,44.0,18.0,0.0,7.0,96.0,28.0,3.0,5.0,27.0,15.0,0.0,6.0,23.0,11.0,0.0,6.0,17.0,9.0,0.0,5.0,20.0,10.0,0.0,4.0,18.0,10.0,0.0,5.0,41.0,19.0,0.0,14.0,48.0,30.0,0.0,18.0,58.0,34.0,2.0,2565
